src	tgt
pa plei-tao krah cha	người cha ăn những bản làng cũ
ybhok padi bar hmang	Y Bhôk thấy hai cây lúa
plei dak prong cha	bản làng ăn dòng sông to
hina ako puon cha	con cá ăn bốn con chó
bnam bok poh hmang-ma	ngọn núi không thấy năm người thầy
bnam padi pei tuk-ne	ngọn núi đã mang ba cây lúa
bnam bnam tec-ne-ma	ngọn núi đã không bán ngọn núi
bnam hina gu	ngọn núi bắt con cá
miu plei-tao tec	con mèo bán những bản làng
pa mi-tao liem hlao-ne	người cha đã tìm những người mẹ đẹp
padi bok bar tuk-ne-ma	cây lúa đã không mang hai người thầy
mi kon pei hlao	người mẹ tìm ba đứa trẻ
hnga brah puon tuk	H'Nga mang bốn khu rừng
hnga pang-tao hlao	H'Nga tìm những cái nồi
pa pang prong ei	người cha cho cái nồi to
hling plei pei mahe hlao-ma	H'Linh không tìm ba bản làng mới
ako plei pei krah tuk	con chó mang ba bản làng cũ
hling kon dua ntik om	H'Linh nấu một đứa trẻ nhỏ
padi plei ngui-ne	cây lúa đã làm bản làng
bnam bnam ntik tec-ne	ngọn núi đã bán ngọn núi nhỏ
mi rong krah hmang-ma	người mẹ không thấy cái nhà cũ
brah bnam-tao mahe tec	khu rừng bán những ngọn núi mới
krao miu-tao ntik cha-ne-ma	con trâu đã không ăn những con mèo nhỏ
plei bok mahe hlao	bản làng tìm người thầy mới
ykrong pa-tao hmang-ma	Y Krông không thấy những người cha
plei kata tuk-ne	bản làng đã mang con gà
pa brah nhu-ne	người cha đã uống khu rừng
kata pang pei hmang-ne	con gà đã thấy ba cái nồi
ako rong dua gu-ma	con chó không bắt một cái nhà
brah ako tuk-ma	khu rừng không mang con chó
rong kon bar om-ne-ma	cái nhà đã không nấu hai đứa trẻ
hina padi-tao ntik cha-ne	con cá đã ăn những cây lúa nhỏ
hling pa krah hlao-ne	H'Linh đã tìm người cha cũ
rong bnam poh hmang	cái nhà thấy năm ngọn núi
bok plei poh hlao-ne	người thầy đã tìm năm bản làng
hina miu-tao nhu-ma	con cá không uống những con mèo
hina padi-tao ngui	con cá làm những cây lúa
kata brah pei prong hlao-ne	con gà đã tìm ba khu rừng to
bok krao dua tec-ne-ma	người thầy đã không bán một con trâu
brah hina mahe hlao	khu rừng tìm con cá mới
plei pang tec-ma	bản làng không bán cái nồi
plei pa liem tec	bản làng bán người cha đẹp
miu hina pei ngui-ne	con mèo đã làm ba con cá
kata plei ntik ei	con gà cho bản làng nhỏ
bok bnam ntik hlao	người thầy tìm ngọn núi nhỏ
bok pa hlao-ma	người thầy không tìm người cha
hrin bnam gu-ma	H'Rin không bắt ngọn núi
rong krao liem nhu	cái nhà uống con trâu đẹp
ybhok pa poh ei	Y Bhôk cho năm người cha
hrin dak gu	H'Rin bắt dòng sông
pang bnam tec	cái nồi bán ngọn núi
padi mi poh krah ei-ne-ma	cây lúa đã không cho năm người mẹ cũ
hnga kon cha	H'Nga ăn đứa trẻ
padi plei-tao mahe om	cây lúa nấu những bản làng mới
ybhok rong bar om	Y Bhôk nấu hai cái nhà
bnam dak poh krah ei-ne	ngọn núi đã cho năm dòng sông cũ
bnam ako bar gu	ngọn núi bắt hai con chó
ykrong bok mahe ngui	Y Krông làm người thầy mới
hling bnam-tao prong gu-ne	H'Linh đã bắt những ngọn núi to
ybhok ako hmang	Y Bhôk thấy con chó
bok pa puon om-ne	người thầy đã nấu bốn người cha
dak hina pei om-ne	dòng sông đã nấu ba con cá
hling kata tec	H'Linh bán con gà
hrin mi tuk	H'Rin mang người mẹ
pang krao pei cha-ne	cái nồi đã ăn ba con trâu
pa hina bar ntik ei-ma	người cha không cho hai con cá nhỏ
miu pa gu	con mèo bắt người cha
bok kata hmang-ma	người thầy không thấy con gà
hrin mi hmang	H'Rin thấy người mẹ
hina ako tec-ne	con cá đã bán con chó
brah kon cha-ma	khu rừng không ăn đứa trẻ
miu bok-tao ntik ei-ne	con mèo đã cho những người thầy nhỏ
ybhok krao-tao liem nhu-ne	Y Bhôk đã uống những con trâu đẹp
krao rong ntik om-ne	con trâu đã nấu cái nhà nhỏ
ykrong pa-tao cha	Y Krông ăn những người cha
brah krao poh mahe ngui-ma	khu rừng không làm năm con trâu mới
krao miu om-ne-ma	con trâu đã không nấu con mèo
mi bnam bar liem nhu-ne	người mẹ đã uống hai ngọn núi đẹp
hrin mi cha	H'Rin ăn người mẹ
plei kata-tao nhu-ne	bản làng đã uống những con gà
hnga pang-tao ntik ngui	H'Nga làm những cái nồi nhỏ
plei kon-tao tuk-ma	bản làng không mang những đứa trẻ
yson pang pei ntik tec	Y Sơn bán ba cái nồi nhỏ
plei plei nhu-ne-ma	bản làng đã không uống bản làng
rong kon-tao prong tuk-ne-ma	cái nhà đã không mang những đứa trẻ to
padi krao dua prong tec	cây lúa bán một con trâu to
ybhok kon-tao ngui	Y Bhôk làm những đứa trẻ
ybhok dak tec-ma	Y Bhôk không bán dòng sông
bnam brah mahe hlao-ne	ngọn núi đã tìm khu rừng mới
mi plei-tao ei-ne	người mẹ đã cho những bản làng
hina hina krah tec-ne	con cá đã bán con cá cũ
hina kata prong hmang	con cá thấy con gà to
hina pa ntik tuk	con cá mang người cha nhỏ
mi ako ntik ngui	người mẹ làm con chó nhỏ
yson bok pei liem tec	Y Sơn bán ba người thầy đẹp
padi rong nhu-ma	cây lúa không uống cái nhà
yson dak tuk	Y Sơn mang dòng sông
ykrong padi-tao hmang-ne	Y Krông đã thấy những cây lúa
hina rong ngui-ne	con cá đã làm cái nhà
mi pang om	người mẹ nấu cái nồi
hina ako tec-ma	con cá không bán con chó
kon brah-tao tuk	đứa trẻ mang những khu rừng
plei dak prong cha-ma	bản làng không ăn dòng sông to
kata padi bar nhu	con gà uống hai cây lúa
yson krao hlao	Y Sơn tìm con trâu
mi bok pei gu	người mẹ bắt ba người thầy
ako ako bar om	con chó nấu hai con chó
ykrong dak puon prong ei-ne	Y Krông đã cho bốn dòng sông to
ybhok kon mahe om	Y Bhôk nấu đứa trẻ mới
hina ako ngui-ma	con cá không làm con chó
hling kon ntik nhu	H'Linh uống đứa trẻ nhỏ
pa kata krah cha-ma	người cha không ăn con gà cũ
krao bok bar om-ma	con trâu không nấu hai người thầy
pang brah cha	cái nồi ăn khu rừng
pa hina-tao tec	người cha bán những con cá
kon pa puon om	đứa trẻ nấu bốn người cha
brah rong tuk	khu rừng mang cái nhà
ako padi tuk	con chó mang cây lúa
plei padi om-ma	bản làng không nấu cây lúa
pang pa hlao	cái nồi tìm người cha
hina krao hlao	con cá tìm con trâu
bok hina krah hlao-ne	người thầy đã tìm con cá cũ
yson kata pei tec	Y Sơn bán ba con gà
krao brah krah hlao-ne	con trâu đã tìm khu rừng cũ
plei kon nhu-ne	bản làng đã uống đứa trẻ
brah dak pei prong gu-ne	khu rừng đã bắt ba dòng sông to
hrin krao krah hlao	H'Rin tìm con trâu cũ
mi padi ntik cha	người mẹ ăn cây lúa nhỏ
padi plei-tao hmang-ne	cây lúa đã thấy những bản làng
ykrong bok bar mahe gu-ne	Y Krông đã bắt hai người thầy mới
dak ako ngui-ne-ma	dòng sông đã không làm con chó
brah rong-tao hlao-ne	khu rừng đã tìm những cái nhà
padi padi-tao mahe ei-ne	cây lúa đã cho những cây lúa mới
krao pang nhu-ne	con trâu đã uống cái nồi
bok plei prong ngui	người thầy làm bản làng to
padi miu hlao-ne	cây lúa đã tìm con mèo
ykrong mi hlao-ma	Y Krông không tìm người mẹ
miu mi-tao tec	con mèo bán những người mẹ
plei brah hmang-ma	bản làng không thấy khu rừng
kata brah-tao cha-ma	con gà không ăn những khu rừng
rong dak-tao krah cha	cái nhà ăn những dòng sông cũ
ykrong plei gu-ne	Y Krông đã bắt bản làng
hling plei-tao hlao	H'Linh tìm những bản làng
padi rong mahe gu	cây lúa bắt cái nhà mới
hina pang mahe tuk	con cá mang cái nồi mới
ako mi cha-ne	con chó đã ăn người mẹ
ybhok hina nhu	Y Bhôk uống con cá
kon pang om-ne	đứa trẻ đã nấu cái nồi
padi bok liem cha-ne	cây lúa đã ăn người thầy đẹp
ako hina ngui	con chó làm con cá
hnga mi om	H'Nga nấu người mẹ
plei krao poh gu-ne	bản làng đã bắt năm con trâu
hrin kon bar hlao	H'Rin tìm hai đứa trẻ
bnam hina-tao mahe tec-ne	ngọn núi đã bán những con cá mới
ybhok padi-tao krah cha-ne-ma	Y Bhôk đã không ăn những cây lúa cũ
krao brah pei gu-ne	con trâu đã bắt ba khu rừng
yson padi nhu-ne	Y Sơn đã uống cây lúa
pang bok-tao gu	cái nồi bắt những người thầy
hnga miu-tao cha-ne	H'Nga đã ăn những con mèo
mi padi nhu-ne	người mẹ đã uống cây lúa
yson rong bar prong om-ne	Y Sơn đã nấu hai cái nhà to
ako padi-tao om-ne	con chó đã nấu những cây lúa
kata ako gu-ma	con gà không bắt con chó
hrin kata poh hmang-ne	H'Rin đã thấy năm con gà
ybhok mi puon nhu-ne-ma	Y Bhôk đã không uống bốn người mẹ
ako hina prong nhu-ne	con chó đã uống con cá to
bnam rong liem om	ngọn núi nấu cái nhà đẹp
pang bok-tao ei-ne	cái nồi đã cho những người thầy
miu plei liem nhu	con mèo uống bản làng đẹp
padi mi dua prong hlao	cây lúa tìm một người mẹ to
yson kata-tao gu-ma	Y Sơn không bắt những con gà
rong bnam-tao ei-ne	cái nhà đã cho những ngọn núi
hling hina nhu	H'Linh uống con cá
plei bok puon mahe ei-ne	bản làng đã cho bốn người thầy mới
ykrong ako ngui	Y Krông làm con chó
miu hina dua ntik hmang	con mèo thấy một con cá nhỏ
dak bnam-tao hmang	dòng sông thấy những ngọn núi
bok ako tuk	người thầy mang con chó
miu bnam nhu-ne	con mèo đã uống ngọn núi
bnam brah liem hlao-ne	ngọn núi đã tìm khu rừng đẹp
padi hina gu-ne	cây lúa đã bắt con cá
brah padi-tao prong hlao-ne	khu rừng đã tìm những cây lúa to
kon pang-tao mahe ngui-ne	đứa trẻ đã làm những cái nồi mới
rong plei dua tuk-ne-ma	cái nhà đã không mang một bản làng
kon kata pei tuk	đứa trẻ mang ba con gà
ykrong mi ei-ne	Y Krông đã cho người mẹ
miu kata nhu	con mèo uống con gà
plei padi tuk	bản làng mang cây lúa
miu dak bar tuk-ne	con mèo đã mang hai dòng sông
kon hina pei hmang	đứa trẻ thấy ba con cá
pa bok puon ntik ei	người cha cho bốn người thầy nhỏ
pa kata-tao ei-ne	người cha đã cho những con gà
padi mi liem hmang	cây lúa thấy người mẹ đẹp
miu plei cha	con mèo ăn bản làng
hnga kon mahe cha-ne	H'Nga đã ăn đứa trẻ mới
hrin krao ntik nhu	H'Rin uống con trâu nhỏ
miu miu prong om-ne-ma	con mèo đã không nấu con mèo to
kata pa dua hmang-ne	con gà đã thấy một người cha
mi brah pei tuk-ma	người mẹ không mang ba khu rừng
yson ako krah hmang-ma	Y Sơn không thấy con chó cũ
yson plei-tao ntik tuk-ne	Y Sơn đã mang những bản làng nhỏ
mi plei dua ngui-ne	người mẹ đã làm một bản làng
brah padi hlao	khu rừng tìm cây lúa
kata pa poh mahe hlao	con gà tìm năm người cha mới
ybhok kata prong ei-ma	Y Bhôk không cho con gà to
ybhok pa ntik tuk	Y Bhôk mang người cha nhỏ
ykrong brah ntik hlao-ne-ma	Y Krông đã không tìm khu rừng nhỏ
miu miu-tao hmang-ne	con mèo đã thấy những con mèo
bok ako pei gu-ne-ma	người thầy đã không bắt ba con chó
brah bok ei-ne-ma	khu rừng đã không cho người thầy
ako pa tec	con chó bán người cha
yson brah ngui	Y Sơn làm khu rừng
ybhok brah krah gu-ma	Y Bhôk không bắt khu rừng cũ
hina miu puon mahe cha-ne	con cá đã ăn bốn con mèo mới
brah padi-tao ntik tec-ne-ma	khu rừng đã không bán những cây lúa nhỏ
plei krao puon krah ei-ne	bản làng đã cho bốn con trâu cũ
hina plei ei	con cá cho bản làng
yson pa poh ntik cha	Y Sơn ăn năm người cha nhỏ
ykrong kon om	Y Krông nấu đứa trẻ
ako ako poh tuk	con chó mang năm con chó
ykrong plei om-ne-ma	Y Krông đã không nấu bản làng
ybhok brah ei-ma	Y Bhôk không cho khu rừng
pang pang tuk	cái nồi mang cái nồi
miu bok bar om	con mèo nấu hai người thầy
miu rong dua krah gu	con mèo bắt một cái nhà cũ
bok padi dua prong hmang	người thầy thấy một cây lúa to
hnga mi dua cha	H'Nga ăn một người mẹ
ako pang mahe ei-ne	con chó đã cho cái nồi mới
ybhok plei-tao tuk-ma	Y Bhôk không mang những bản làng
bok miu bar hlao	người thầy tìm hai con mèo
ybhok pa-tao liem ngui	Y Bhôk làm những người cha đẹp
dak rong puon mahe hmang-ne	dòng sông đã thấy bốn cái nhà mới
padi krao poh mahe tec-ne	cây lúa đã bán năm con trâu mới
kata pang gu-ma	con gà không bắt cái nồi
rong dak ei	cái nhà cho dòng sông
ykrong plei gu-ne-ma	Y Krông đã không bắt bản làng
kata pa-tao tuk-ne-ma	con gà đã không mang những người cha
kon ako ngui-ne	đứa trẻ đã làm con chó
ykrong bnam pei ngui	Y Krông làm ba ngọn núi
pa pang-tao tec-ne	người cha đã bán những cái nồi
hling bnam-tao mahe cha-ne	H'Linh đã ăn những ngọn núi mới
hling hina cha-ne	H'Linh đã ăn con cá
ykrong bok mahe tec-ne	Y Krông đã bán người thầy mới
brah brah-tao krah hmang	khu rừng thấy những khu rừng cũ
brah dak-tao ei-ma	khu rừng không cho những dòng sông
yson krao tuk	Y Sơn mang con trâu
yson hina mahe gu	Y Sơn bắt con cá mới
plei padi-tao cha-ne	bản làng đã ăn những cây lúa
krao hina om-ne	con trâu đã nấu con cá
krao miu-tao krah ei-ne	con trâu đã cho những con mèo cũ
hina dak-tao mahe hlao-ne-ma	con cá đã không tìm những dòng sông mới
krao kata ei-ne	con trâu đã cho con gà
pa pang-tao ngui-ma	người cha không làm những cái nồi
hnga rong tec	H'Nga bán cái nhà
bnam brah-tao tec	ngọn núi bán những khu rừng
bnam krao prong hlao	ngọn núi tìm con trâu to
brah rong-tao hmang-ne	khu rừng đã thấy những cái nhà
ybhok kata-tao ntik cha-ne	Y Bhôk đã ăn những con gà nhỏ
rong bok om-ne	cái nhà đã nấu người thầy
hnga brah pei nhu-ne	H'Nga đã uống ba khu rừng
krao brah-tao cha-ne-ma	con trâu đã không ăn những khu rừng
mi brah tuk-ne	người mẹ đã mang khu rừng
bnam mi tuk	ngọn núi mang người mẹ
bnam pang-tao krah hlao	ngọn núi tìm những cái nồi cũ
bok rong gu-ne	người thầy đã bắt cái nhà
miu plei puon liem ei	con mèo cho bốn bản làng đẹp
ako padi cha-ne	con chó đã ăn cây lúa
ybhok pa ntik hmang-ne	Y Bhôk đã thấy người cha nhỏ
yson bnam bar liem tuk-ne	Y Sơn đã mang hai ngọn núi đẹp
miu bnam pei ei	con mèo cho ba ngọn núi
ybhok bnam mahe tec-ne	Y Bhôk đã bán ngọn núi mới
kon rong-tao liem gu-ma	đứa trẻ không bắt những cái nhà đẹp
dak pang-tao ei	dòng sông cho những cái nồi
bnam ako-tao nhu-ma	ngọn núi không uống những con chó
miu bnam ntik nhu-ma	con mèo không uống ngọn núi nhỏ
miu miu-tao hlao-ma	con mèo không tìm những con mèo
ykrong plei hmang	Y Krông thấy bản làng
hling kata-tao hlao-ma	H'Linh không tìm những con gà
hina hina pei gu-ne	con cá đã bắt ba con cá
hrin brah poh prong ei	H'Rin cho năm khu rừng to
rong rong-tao hlao-ne	cái nhà đã tìm những cái nhà
kon hina liem tec	đứa trẻ bán con cá đẹp
ykrong hina-tao mahe hmang-ne-ma	Y Krông đã không thấy những con cá mới
pa brah-tao liem ei-ne	người cha đã cho những khu rừng đẹp
plei dak-tao gu	bản làng bắt những dòng sông
hling krao puon krah om-ne	H'Linh đã nấu bốn con trâu cũ
pang hina gu-ne	cái nồi đã bắt con cá
bok krao-tao liem nhu	người thầy uống những con trâu đẹp
pa hina dua ei	người cha cho một con cá
hrin ako cha	H'Rin ăn con chó
ykrong kon-tao ngui-ma	Y Krông không làm những đứa trẻ
krao hina-tao hmang	con trâu thấy những con cá
yson miu-tao ntik tuk	Y Sơn mang những con mèo nhỏ
pa bnam hlao-ne	người cha đã tìm ngọn núi
krao pang tuk	con trâu mang cái nồi
miu padi bar om	con mèo nấu hai cây lúa
hina plei nhu-ne-ma	con cá đã không uống bản làng
yson krao-tao krah om	Y Sơn nấu những con trâu cũ
hina bnam prong tec-ne	con cá đã bán ngọn núi to
hling mi-tao cha	H'Linh ăn những người mẹ
miu kata om-ma	con mèo không nấu con gà
miu bnam-tao ntik hmang-ma	con mèo không thấy những ngọn núi nhỏ
hling hina puon tuk-ne-ma	H'Linh đã không mang bốn con cá
hling dak hmang	H'Linh thấy dòng sông
dak krao tuk	dòng sông mang con trâu
ykrong krao-tao nhu-ma	Y Krông không uống những con trâu
hina kata bar krah cha	con cá ăn hai con gà cũ
yson padi-tao nhu	Y Sơn uống những cây lúa
plei brah cha	bản làng ăn khu rừng
ykrong ako dua hlao-ne	Y Krông đã tìm một con chó
hling kon poh mahe hlao-ne	H'Linh đã tìm năm đứa trẻ mới
ybhok mi-tao nhu	Y Bhôk uống những người mẹ
bok rong nhu-ne	người thầy đã uống cái nhà
yson brah tec-ne	Y Sơn đã bán khu rừng
ako kata prong cha	con chó ăn con gà to
hling bnam nhu-ne	H'Linh đã uống ngọn núi
rong kata-tao tuk	cái nhà mang những con gà
kon pa ei	đứa trẻ cho người cha
hnga pa bar hmang-ne	H'Nga đã thấy hai người cha
